time	err_x	err_y	err_z
0	0	0	0
0.1	-0.00237447	0.000698566	0.00025638
0.2	0.00688184	-0.0938087	0.115492
0.301	0.0706096	-0.0856581	0.236546
0.400998	0.0538927	-0.100142	0.374411
0.500997	0.0979069	-0.0994115	0.511004
0.600996	0.116681	-0.0766177	0.645622
0.700995	0.106294	-0.0804381	0.78834
0.800993	0.146593	-0.0832829	0.93412
0.900992	0.182874	-0.041069	1.05538
1.00099	0.136784	-0.0645533	1.19131
1.101	0.135806	-0.0154819	1.28219
1.2	0.110694	-0.0588078	1.40564
1.3	0.0935905	-0.0538974	1.48136
1.40001	0.0847581	-0.0292268	1.53298
1.50001	0.0765617	-0.0259094	1.58221
1.60002	0.0700395	-0.0282707	1.62285
1.70002	0.0655529	-0.0225377	1.65233
1.80003	0.063017	0.00161314	1.66997
1.90003	0.0625693	0.0531392	1.67637
2.00004	0.0626063	0.141794	1.67972
2.10003	0.0626184	0.273526	1.68265
2.20002	0.0626151	0.45156	1.68524
2.30002	0.0623	0.677166	1.68777
2.40001	0.0618706	0.949448	1.69045
2.5	0.061382	1.26848	1.69327
2.60099	0.0608383	1.63821	1.69626
2.70099	0.0602458	2.05138	1.69935
2.80098	0.0596118	2.51146	1.70257
2.90097	0.058932	3.01849	1.70592
3.00096	0.058215	3.5725	1.7094
3.10096	0.0574645	4.17352	1.713
3.20095	0.0566831	4.82158	1.71672
3.30094	0.0558761	5.5167	1.72056
3.40094	0.0550433	6.25888	1.72452
3.50093	0.0541919	7.04814	1.72859
3.60092	0.0533231	7.88448	1.73277
3.70091	0.0524393	8.76791	1.73706
3.80091	0.051546	9.69841	1.74145
3.9009	0.0506438	10.676	1.74595
4.00089	0.0497362	11.7006	1.75054
4.10089	0.0488211	12.7723	1.75523
4.20088	0.0479027	13.8909	1.76001
4.30087	0.0469896	15.0566	1.76488
4.40086	0.046071	16.2692	1.76984
4.50086	0.045162	17.5287	1.77488
4.60085	0.0442522	18.8351	1.78
4.70084	0.0435903	20.1899	1.78549
4.80083	0.0430535	21.5937	1.79114
4.90083	0.0425147	23.0461	1.79682
5.00082	0.0419706	24.5474	1.80251
5.10081	0.0414151	26.0978	1.80825
5.20081	0.0408552	27.6974	1.81404
5.3008	0.0402911	29.3463	1.81988
5.40079	0.0397248	31.0447	1.82576
5.50078	0.0391552	32.7927	1.83169
5.60078	0.0385839	34.5905	1.83765
5.70077	0.0380112	36.4382	1.84365
5.80076	0.0374365	38.3359	1.84969
5.90075	0.0368614	40.2838	1.85576
6.00075	0.0362864	42.282	1.86186
6.10074	0.03571	44.3306	1.868
6.20073	0.035135	46.4298	1.87416
6.30073	0.0345606	48.5796	1.88034
6.40072	0.0339856	50.7803	1.88655
6.50071	0.0334127	53.0319	1.89279
6.6007	0.0328412	55.3345	1.89904
6.7007	0.0322717	57.6883	1.90531
6.80069	0.0317059	60.0934	1.9116
6.90068	0.031142	62.5499	1.91791
7.00068	0.0305804	65.0579	1.92423
7.10067	0.0300198	67.6175	1.93056
7.20066	0.0294632	70.2288	1.93691
7.30065	0.0289093	72.8919	1.94327
7.40065	0.0283583	75.607	1.94963
7.50064	0.0278114	78.3742	1.956
7.60063	0.0272678	81.1935	1.96238
7.70062	0.0267284	84.065	1.96877
7.80062	0.0261928	86.9888	1.97516
7.90061	0.0256611	89.9651	1.98155
8.0006	0.0251336	92.994	1.98794
8.10064	0.0246106	96.0755	1.99433
8.20068	0.0240919	99.2097	2.00072
8.30072	0.0235786	102.397	2.00711
8.40076	0.0230692	105.637	2.0135
8.5008	0.0225649	108.93	2.01989
8.60085	0.0220636	112.276	2.02628
8.70089	0.0215682	115.675	2.03266
8.80093	0.0210777	119.127	2.03902
8.90097	0.0205916	122.633	2.04539
9.00001	0.0201151	126.156	2.05169
9.10005	0.0196418	129.769	2.05803
9.20009	0.0191711	133.435	2.06437
9.30013	0.0187064	137.154	2.0707
9.40017	0.0182469	140.927	2.07702
9.50021	0.0177911	144.754	2.08333
9.60025	0.0173416	148.635	2.08962
9.70029	0.0168986	152.57	2.0959
9.80033	0.0164607	156.559	2.10217
9.90037	0.0160263	160.602	2.10842
