time	err_x	err_y	err_z
0	0	0	0
0.1	7.24869e-05	-4.76837e-07	8.12947e-06
0.2	0.000137874	4.76837e-07	-1.00121e-05
0.301	-0.115899	0.115574	0.0830182
0.400998	-0.100266	0.348501	0.0900148
0.500997	-0.15028	0.686849	0.106952
0.600996	-0.105302	1.12537	0.117576
0.700995	-0.136857	1.66244	0.141796
0.800993	-0.14474	2.2994	0.143796
0.900992	-0.119752	3.03564	0.156292
1.00099	-0.115863	3.86606	0.180655
1.101	-0.0914551	4.79477	0.208364
1.2	-0.125227	5.79863	0.224662
1.3	-0.0979477	6.89456	0.249081
1.40001	-0.112937	8.10093	0.273396
1.50001	-0.112788	9.41225	0.285112
1.60002	-0.0937266	10.83	0.308516
1.70002	-0.092376	12.3475	0.329994
1.80003	-0.111017	13.9677	0.347088
1.90003	-0.0512766	15.6911	0.328551
2.00004	-0.106078	17.4951	0.33745
2.10003	-0.106425	19.3805	0.32948
2.20002	-0.0982046	21.382	0.324815
2.30002	-0.112399	23.4731	0.341953
2.40001	-0.129887	25.6748	0.318128
2.5	-0.144712	27.9647	0.337146
2.60099	-0.112272	30.3796	0.347696
2.70099	-0.0939083	32.8446	0.369828
2.80098	-0.0808689	35.4169	0.381567
2.90097	-0.0807911	38.0816	0.370728
3.00096	-0.0919202	40.8397	0.380009
3.10096	-0.139472	43.6869	0.394987
3.20095	-0.0913761	46.6033	0.429879
3.30094	-0.0976075	49.6346	0.416715
3.40094	-0.0858232	52.7626	0.43619
3.50093	-0.0983928	55.9757	0.448357
3.60092	-0.094303	59.2805	0.452827
3.70091	-0.0936182	62.6738	0.444155
3.80091	-0.143527	66.1651	0.454781
3.9009	-0.108705	69.743	0.465451
4.00089	-0.0968378	73.4193	0.46577
4.10089	-0.105592	77.1927	0.466802
4.20088	-0.0334829	81.0378	0.541415
4.30087	-0.121239	85.0035	0.53379
4.40086	-0.0980636	89.0703	0.533249
4.50086	-0.0956539	93.2283	0.555303
4.60085	-0.130775	97.4871	0.559588
4.70084	-0.0897633	101.844	0.55374
4.80083	-0.106413	106.288	0.56167
4.90083	-0.106533	110.828	0.56692
5.00082	-0.0984922	115.468	0.577791
5.10081	-0.0900468	120.202	0.583909
5.20081	-0.11722	125.028	0.593913
5.3008	-0.113204	129.948	0.597713
5.40079	-0.0857629	134.961	0.609581
5.50078	-0.131629	140.066	0.61053
5.60078	-0.0913014	145.269	0.587498
5.70077	-0.136369	150.567	0.591137
5.80076	-0.106141	155.962	0.595352
5.90075	-0.0968261	161.45	0.597447
6.00075	-0.077318	167.04	0.603403
6.10074	-0.0933972	172.72	0.613895
6.20073	-0.0682697	178.493	0.615629
6.30073	-0.0804636	184.358	0.617188
6.40072	-0.10472	190.329	0.613372
6.50071	-0.110969	196.398	0.615853
6.6007	-0.13339	202.561	0.623498
6.7007	-0.0915393	208.817	0.612216
6.80069	-0.104276	215.159	0.604894
6.90068	-0.0923696	221.602	0.599555
7.00068	-0.0481333	228.135	0.65904
7.10067	-0.129967	234.795	0.667204
7.20066	-0.100691	241.546	0.662697
7.30065	-0.097447	248.381	0.675589
7.40065	-0.105334	255.303	0.679585
7.50064	-0.106844	262.295	0.683672
7.60063	-0.116583	269.372	0.675683
7.70062	-0.0920515	276.518	0.678747
7.80062	-0.125561	283.728	0.681353
7.90061	-0.123103	290.999	0.6826
8.0006	-0.113977	298.339	0.681204
8.10064	-0.113346	305.742	0.697463
8.20068	-0.130965	313.226	0.687195
8.30072	-0.10263	320.766	0.685934
8.40076	-0.113404	328.384	0.690887
8.5008	-0.113404	336.076	0.707862
8.60085	-0.114502	343.843	0.717658
8.70089	-0.115747	351.672	0.717623
8.80093	-0.10714	359.57	0.719488
8.90097	-0.129163	367.544	0.71634
9.00001	-0.154821	375.51	0.712688
9.10005	-0.106539	383.628	0.688921
9.20009	-0.114441	391.81	0.687145
9.30013	-0.116512	400.069	0.691315
9.40017	-0.09742	408.404	0.683733
9.50021	-0.0901395	416.808	0.690779
9.60025	-0.0864774	425.282	0.686141
9.70029	-0.118432	433.842	0.691124
9.80033	-0.117105	442.479	0.683581
9.90037	-0.111231	451.211	0.678981
