time	err_x	err_y	err_z
0	0	0	0
0.1	7.18454e-05	1.90735e-06	6.91297e-05
0.2	-0.0375456	0.0508847	-0.0609038
0.301	-0.0208013	0.22913	-0.211859
0.400998	-0.031686	0.494812	-0.336379
0.500997	-0.0244962	0.861	-0.434765
0.600996	-0.0271	1.32457	-0.505961
0.700995	-0.0405479	1.89006	-0.568739
0.800993	-0.0386915	2.5539	-0.618851
0.900992	-0.0283486	3.31686	-0.66056
1.00099	-0.0759687	4.18219	-0.69587
1.101	-0.0485559	5.13717	-0.730172
1.2	-0.0363638	6.1688	-0.754305
1.3	-0.0430487	7.29933	-0.776451
1.40001	-0.0378626	8.50853	-0.796503
1.50001	-0.0353434	9.81208	-0.805385
1.60002	-0.0498611	11.2081	-0.810801
1.70002	-0.0153948	12.6905	-0.809786
1.80003	-0.0302549	14.263	-0.808827
1.90003	-0.0352325	15.9196	-0.804645
2.00004	-0.0306274	17.6652	-0.792488
2.10003	-0.0305731	19.4956	-0.778684
2.20002	-0.0382041	21.4187	-0.765271
2.30002	-0.0335812	23.4287	-0.748535
2.40001	-0.0238267	25.5228	-0.733513
2.5	-0.0363901	27.7002	-0.718914
2.60099	-0.0344198	29.978	-0.705635
2.70099	-0.0452031	32.314	-0.694822
2.80098	-0.0531231	34.7272	-0.682295
2.90097	-0.0471217	37.2234	-0.673279
3.00096	-0.047267	39.8106	-0.659391
3.10096	-0.0296616	42.4792	-0.646561
3.20095	-0.0346254	45.2325	-0.634185
3.30094	-0.0385916	48.0736	-0.624775
3.40094	-0.0512149	50.9984	-0.614945
3.50093	-0.0352006	54.0045	-0.607946
3.60092	-0.0430602	57.0959	-0.600836
3.70091	-0.0588804	60.2659	-0.595069
3.80091	-0.0391048	63.5232	-0.590525
3.9009	-0.0293677	66.8676	-0.587159
4.00089	-0.0462822	70.2875	-0.584056
4.10089	-0.0352435	73.7983	-0.579387
4.20088	-0.0274098	77.3885	-0.577273
4.30087	-0.0501871	81.0682	-0.575855
4.40086	-0.0405372	84.8252	-0.574364
4.50086	-0.0474152	88.6654	-0.572842
4.60085	-0.0676454	92.5845	-0.576062
4.70084	-0.0413955	96.5938	-0.572826
4.80083	-0.0344005	100.682	-0.570604
4.90083	-0.0368975	104.86	-0.569227
5.00082	-0.0432885	109.121	-0.568804
5.10081	-0.0400552	113.477	-0.569863
5.20081	-0.0560767	117.909	-0.57122
5.3008	-0.0286977	122.424	-0.57128
5.40079	-0.0214484	127.023	-0.571928
5.50078	-0.0582648	131.713	-0.57294
5.60078	-0.0417302	136.498	-0.573119
5.70077	-0.0540652	141.373	-0.573515
5.80076	-0.0281841	146.328	-0.573067
5.90075	-0.0349238	151.366	-0.574023
6.00075	-0.0605202	156.489	-0.575116
6.10074	-0.0530162	161.695	-0.57505
6.20073	-0.0377072	166.985	-0.575924
6.30073	-0.0246451	172.365	-0.576401
6.40072	-0.0611133	177.838	-0.577568
6.50071	-0.0546469	183.395	-0.580042
6.6007	-0.0373695	189.044	-0.580126
6.7007	-0.0366668	194.786	-0.581013
6.80069	-0.0536648	200.615	-0.582084
6.90068	-0.0393203	206.535	-0.58153
7.00068	-0.0519453	212.548	-0.581532
7.10067	-0.0397358	218.655	-0.581912
7.20066	-0.0348089	224.854	-0.579804
7.30065	-0.054968	231.136	-0.581056
7.40065	-0.0405338	237.509	-0.580035
7.50064	-0.0274106	243.98	-0.580334
7.60063	-0.0460742	250.539	-0.580343
7.70062	-0.0374831	257.188	-0.581948
7.80062	-0.0464729	263.924	-0.582359
7.90061	-0.0666557	270.737	-0.58169
8.0006	-0.0233642	277.64	-0.582681
8.10064	-0.0457128	284.634	-0.582796
8.20068	-0.0546247	291.71	-0.583596
8.30072	-0.0384761	298.873	-0.582868
8.40076	-0.0432054	306.118	-0.583429
8.5008	-0.0425853	313.444	-0.583236
8.60085	-0.0606837	320.842	-0.581682
8.70089	-0.0367747	328.321	-0.582295
8.80093	-0.046197	335.882	-0.581876
8.90097	-0.0463846	343.53	-0.582394
9.00001	-0.0381245	351.189	-0.582834
9.10005	-0.0272307	359.016	-0.581543
9.20009	-0.0443885	366.934	-0.582622
9.30013	-0.034071	374.938	-0.582817
9.40017	-0.0288027	383.029	-0.584303
9.50021	-0.0291232	391.201	-0.584647
9.60025	-0.0562775	399.467	-0.585413
9.70029	-0.0523347	407.817	-0.58511
9.80033	-0.0497839	416.253	-0.58515
9.90037	-0.0320038	424.776	-0.58384
