time	err_x	err_y	err_z
0	0	0	0
0.1	0.000244997	-1.66893e-06	0.000242176
0.2	-0.0287472	0.0504048	-0.135761
0.301	-0.0339712	0.340453	-1.19301
0.400998	-0.00412367	0.698648	-2.00429
0.500997	-0.0104029	1.06442	-2.20169
0.600996	-0.0112709	1.43438	-2.4408
0.700995	-0.013779	1.7849	-2.6413
0.800993	-0.0572744	1.97275	-2.57877
0.900992	-0.0330091	2.38922	-2.10095
1.00099	-0.00346834	2.95662	-1.86124
1.101	-0.00380175	3.30418	-1.96838
1.2	-0.00402318	3.64622	-2.09722
1.3	-0.00509124	3.98653	-2.24531
1.40001	-0.0115842	4.36768	-2.41962
1.50001	-0.0182096	4.73577	-2.5346
1.60002	-0.0300258	5.32986	-1.98354
1.70002	-0.0106838	6.13171	-1.82109
1.80003	-0.00369403	6.80271	-1.90869
1.90003	-0.00442197	7.46277	-2.0289
2.00004	-0.00433649	8.11396	-2.16735
2.10003	-0.0118119	8.76516	-2.3267
2.20002	-0.014537	9.44963	-2.49544
2.30002	-0.0196088	10.2951	-2.14828
2.40001	-0.00384162	11.4521	-1.80398
2.5	-0.00420015	12.3922	-1.90873
2.60099	-0.00503787	13.333	-2.03342
2.70099	-0.00515456	14.25	-2.17605
2.80098	-0.00890804	15.1598	-2.34414
2.90097	-0.0265361	16.1037	-2.44295
3.00096	-0.0500672	17.4859	-1.87517
3.10096	-0.00436833	18.7807	-1.80752
3.20095	-0.00332109	20.1048	-1.8069
3.30094	-0.00323482	21.5138	-1.80679
3.40094	-0.00332468	23.0077	-1.80806
3.50093	-0.00324301	24.5871	-1.80816
3.60092	-0.00330308	26.2509	-1.80957
3.70091	-0.00320207	27.9999	-1.80983
3.80091	-0.00327957	29.8336	-1.81003
3.9009	-0.00327817	31.7513	-1.81155
4.00089	-0.00333077	33.7537	-1.81185
4.10089	-0.00316739	35.8402	-1.81237
4.20088	-0.00316526	38.0109	-1.81274
4.30087	-0.0031604	40.2655	-1.81321
4.40086	-0.00336216	42.5743	-1.8373
4.50086	-0.00412615	44.8491	-1.92172
4.60085	-0.00450397	47.117	-2.01886
4.70084	-0.00412423	49.3743	-2.13087
4.80083	-0.00456293	51.6194	-2.25858
4.90083	-0.0122217	53.8824	-2.40268
5.00082	-0.0479924	56.177	-2.39266
5.10081	-0.0274285	58.8649	-1.95778
5.20081	-0.00418634	61.2815	-1.86049
5.3008	-0.00510742	63.5412	-1.96097
5.40079	-0.00524512	65.7979	-2.07574
5.50078	-0.00582611	68.0483	-2.20867
5.60078	-0.0135639	70.3213	-2.39591
5.70077	-0.0222339	72.5704	-2.54984
5.80076	-0.0275273	75.0167	-2.09341
5.90075	-0.0139889	77.6352	-1.84257
6.00075	-0.00429209	80.0567	-1.92792
6.10074	-0.00555951	82.4682	-2.03744
6.20073	-0.00555684	84.8725	-2.16461
6.30073	-0.0138061	87.2867	-2.3307
6.40072	-0.0129948	89.6968	-2.52903
6.50071	-0.0270077	92.1834	-2.20977
6.6007	-0.010088	94.999	-1.83154
6.7007	-0.00523333	97.5198	-1.92216
6.80069	-0.00521562	100.028	-2.03855
6.90068	-0.0050878	102.525	-2.17562
7.00068	-0.011938	105.039	-2.34996
7.10067	-0.022596	107.558	-2.5398
7.20066	-0.0221463	110.23	-2.12798
7.30065	-0.00467934	113.176	-1.80097
7.40065	-0.00492183	115.871	-1.89606
7.50064	-0.00575773	118.549	-2.01328
7.60063	-0.00632959	121.208	-2.15467
7.70062	-0.0128636	123.871	-2.31891
7.80062	-0.0246051	126.569	-2.48329
7.90061	-0.0376215	129.601	-1.87003
8.0006	-0.00580077	132.684	-1.81244
8.10064	-0.00594002	135.645	-1.91019
8.20068	-0.00565804	138.587	-2.02829
8.30072	-0.00673961	141.511	-2.17004
8.40076	-0.0132884	144.442	-2.34607
8.5008	-0.0241199	147.38	-2.46392
8.60085	-0.0322042	150.73	-1.8018
8.70089	-0.00511176	154.066	-1.82431
8.80093	-0.0053622	157.308	-1.9248
8.90097	-0.00699914	160.53	-2.04569
9.00001	-0.00620346	163.702	-2.18937
9.10005	-0.0147699	166.926	-2.36935
9.20009	-0.0309755	170.122	-2.4372
9.30013	-0.0440324	173.81	-1.80849
9.40017	-0.00631984	177.272	-1.87288
9.50021	-0.00715968	180.687	-1.98942
9.60025	-0.00768596	184.087	-2.12796
9.70029	-0.0138645	187.49	-2.29569
9.80033	-0.0136625	190.917	-2.49576
9.90037	-0.0245651	194.484	-2.13509
