time	err_x	err_y	err_z
0	0	0	0
0.1	-0.0115375	0.00140858	-0.00141771
0.2	0.172556	0.0656037	-0.164739
0.301	0.162217	0.158484	-0.71886
0.400998	0.159174	0.30071	-0.967276
0.500997	0.166292	0.507113	-1.16438
0.600996	0.170899	0.775552	-1.3531
0.700995	0.167279	1.10443	-1.54082
0.800993	0.157172	1.4934	-1.72878
0.900992	0.143691	1.94238	-1.91652
1.00099	0.128739	2.45146	-2.10327
1.101	0.115857	3.0219	-2.28769
1.2	0.109559	3.69001	-2.37441
1.3	0.105915	4.45327	-2.41548
1.40001	0.103023	5.28705	-2.4517
1.50001	0.10025	6.1895	-2.48739
1.60002	0.097669	7.16051	-2.52305
1.70002	0.0949986	8.19995	-2.55841
1.80003	0.0925042	9.30788	-2.59382
1.90003	0.0899601	10.4842	-2.6289
2.00004	0.0874626	11.7291	-2.66384
2.10003	0.0851789	13.0424	-2.69878
2.20002	0.0828347	14.4241	-2.73341
2.30002	0.0807077	15.8743	-2.76803
2.40001	0.0785331	17.3929	-2.80232
2.5	0.0766629	18.98	-2.83655
2.60099	0.0799128	20.648	-2.86722
2.70099	0.0892019	22.2718	-2.90961
2.80098	0.098536	23.7958	-2.95204
2.90097	0.10787	25.2197	-2.99448
3.00096	0.117204	26.5436	-3.03692
3.10096	0.126538	27.7676	-3.07936
3.20095	0.135872	28.8915	-3.1218
3.30094	0.145206	29.9154	-3.16424
3.40094	0.154541	30.8393	-3.20668
3.50093	0.163875	31.6633	-3.24911
3.60092	0.173209	32.3872	-3.29155
3.70091	0.182543	33.0111	-3.33399
3.80091	0.191877	33.535	-3.37643
3.9009	0.201211	33.9589	-3.41887
4.00089	0.210545	34.2828	-3.46131
4.10089	0.219879	34.5067	-3.50374
4.20088	0.229213	34.6307	-3.54618
4.30087	0.238547	34.6546	-3.58862
4.40086	0.247881	34.5785	-3.63106
4.50086	0.257215	34.4024	-3.6735
4.60085	0.26655	34.1263	-3.71594
4.70084	0.275884	33.7502	-3.75838
4.80083	0.285218	33.2741	-3.80081
4.90083	0.294552	32.698	-3.84325
5.00082	0.303886	32.0219	-3.88569
5.10081	0.31322	31.2458	-3.92813
5.20081	0.322554	30.3697	-3.97057
5.3008	0.331888	29.3936	-4.01301
5.40079	0.341222	28.3175	-4.05545
5.50078	0.350556	27.1414	-4.09788
5.60078	0.35989	25.8653	-4.14032
5.70077	0.369225	24.4892	-4.18276
5.80076	0.378559	23.0131	-4.2252
5.90075	0.387893	21.437	-4.26764
6.00075	0.397227	19.7608	-4.31008
6.10074	0.406561	17.9847	-4.35251
6.20073	0.415895	16.1086	-4.39495
6.30073	0.425229	14.1325	-4.43739
6.40072	0.434563	12.0564	-4.47983
6.50071	0.443897	9.88022	-4.52227
6.6007	0.453231	7.60409	-4.56471
6.7007	0.462565	5.22796	-4.60715
6.80069	0.471899	2.75182	-4.64958
6.90068	0.481234	0.175678	-4.69202
7.00068	0.491551	-2.06589	-4.7362
7.10067	0.543302	-3.59687	-4.90096
7.20066	0.631723	-4.58638	-5.05437
7.30065	0.800205	-4.59554	-5.15457
7.40065	0.978351	-4.6311	-5.22304
7.50064	1.17033	-4.69965	-5.28445
7.60063	1.37401	-4.81353	-5.34962
7.70062	1.58436	-4.9904	-5.41691
7.80062	1.72708	-5.00119	-5.46675
7.90061	1.82161	-5.00119	-5.49679
8.0006	1.87247	-5.00119	-5.50768
8.10064	1.88594	-5.0012	-5.5101
8.20068	1.88579	-5.0012	-5.51007
8.30072	1.88575	-5.00118	-5.51007
8.40076	1.88569	-5.00116	-5.51007
8.5008	1.88563	-5.00114	-5.51006
8.60085	1.88559	-5.00111	-5.51006
8.70089	1.88555	-5.00109	-5.51006
8.80093	1.88552	-5.00107	-5.51006
8.90097	1.88548	-5.00104	-5.51006
9.00001	1.88542	-5.00102	-5.51006
9.10005	1.88537	-5.001	-5.51006
9.20009	1.88532	-5.00098	-5.51006
9.30013	1.88529	-5.00096	-5.51005
9.40017	1.88525	-5.00093	-5.51005
9.50021	1.8852	-5.00091	-5.51005
9.60025	1.88515	-5.00089	-5.51005
9.70029	1.88509	-5.00087	-5.51005
9.80033	1.88505	-5.00085	-5.51005
9.90037	1.88501	-5.00082	-5.51004
