time	err_x	err_y	err_z
1.171	-0.0733395	4.03182	-0.855752
1.181	-0.0729396	4.10268	-0.863614
1.191	-0.0724894	4.17396	-0.87164
1.2	-0.0720394	4.23844	-0.879
1.21	-0.0714883	4.31047	-0.887329
1.22	-0.0708812	4.38288	-0.895811
1.23	-0.0702174	4.45567	-0.904443
1.24	-0.0694952	4.52882	-0.91322
1.25	-0.0687112	4.60233	-0.922139
1.26	-0.0678719	4.67617	-0.93119
1.27	-0.0669697	4.75035	-0.940368
1.28	-0.0659954	4.82486	-0.94967
1.29	-0.0649588	4.89968	-0.95908
1.3	-0.0638584	4.97479	-0.968593
1.31001	-0.062681	5.0502	-0.978209
1.32001	-0.0614229	5.12588	-0.987918
1.33001	-0.0600807	5.20183	-0.997713
1.34001	-0.0586507	5.27804	-1.00758
1.35001	-0.0571292	5.35449	-1.01752
1.36001	-0.055512	5.43117	-1.02751
1.37001	-0.053795	5.50807	-1.03754
1.38001	-0.0519808	5.58518	-1.04761
1.39001	-0.0500735	5.6625	-1.05769
1.40001	-0.0480291	5.73999	-1.06779
1.41001	-0.0458468	5.81764	-1.07788
1.42001	-0.0435408	5.89543	-1.08794
1.43001	-0.0411052	5.97335	-1.09796
1.44001	-0.0385335	6.05139	-1.10791
1.45001	-0.035819	6.12953	-1.11779
1.46001	-0.0329561	6.20776	-1.12756
1.47001	-0.0299365	6.28605	-1.13722
1.48001	-0.0267514	6.3644	-1.14673
1.49001	-0.0233803	6.44279	-1.15608
1.50001	-0.0198257	6.52121	-1.16525
1.51001	-0.0160769	6.59963	-1.17423
1.52002	-0.0121107	6.67804	-1.18305
1.53002	-0.00789199	6.75642	-1.19167
1.54002	-0.00339565	6.83477	-1.20012
1.55002	0.00128553	6.91289	-1.20864
1.56002	0.00598284	6.99016	-1.21719
1.57002	0.0106802	7.06643	-1.22575
1.58002	0.0153775	7.14171	-1.2343
1.59002	0.0200748	7.21598	-1.24286
1.60002	0.0247721	7.28925	-1.25141
1.61002	0.0294694	7.36152	-1.25997
1.62002	0.0341667	7.43279	-1.26852
1.63002	0.0388641	7.50307	-1.27707
1.64002	0.0435614	7.57234	-1.28563
1.65002	0.0482587	7.64061	-1.29418
1.66002	0.0529561	7.70788	-1.30274
1.67002	0.0576534	7.77415	-1.31129
1.68002	0.0623507	7.83942	-1.31985
1.69002	0.067048	7.9037	-1.3284
1.70002	0.0717453	7.96697	-1.33696
1.71002	0.0764426	8.02924	-1.34551
1.72002	0.0811399	8.09051	-1.35406
1.73002	0.0858372	8.15078	-1.36262
1.74003	0.0905345	8.21005	-1.37117
1.75003	0.0952318	8.26832	-1.37973
1.76003	0.0999291	8.32559	-1.38828
1.77003	0.104626	8.38187	-1.39684
1.78003	0.109324	8.43714	-1.40539
1.79003	0.114021	8.49141	-1.41395
1.80003	0.118718	8.54468	-1.4225
1.81003	0.123416	8.59695	-1.43105
1.82003	0.128113	8.64822	-1.43961
1.83003	0.13281	8.69849	-1.44816
1.84003	0.137507	8.74777	-1.45672
1.85003	0.142205	8.79604	-1.46527
1.86003	0.146902	8.84331	-1.47383
1.87003	0.151599	8.88958	-1.48238
1.88003	0.156297	8.93485	-1.49094
1.89003	0.160994	8.97912	-1.49949
1.90003	0.165691	9.02239	-1.50804
1.91003	0.170388	9.06466	-1.5166
1.92003	0.175086	9.10593	-1.52515
1.93003	0.179783	9.1462	-1.53371
1.94003	0.18448	9.18548	-1.54226
1.95004	0.189178	9.22375	-1.55082
1.96004	0.193875	9.26102	-1.55937
1.97004	0.198572	9.29729	-1.56793
1.98004	0.20327	9.33256	-1.57648
1.99004	0.207967	9.36683	-1.58503
2.00004	0.212664	9.4001	-1.59359
2.01004	0.217361	9.43237	-1.60214
2.02004	0.222059	9.46364	-1.6107
2.03004	0.226756	9.49391	-1.61925
2.04003	0.231453	9.52318	-1.62781
2.05003	0.236151	9.55145	-1.63636
2.06003	0.240848	9.57872	-1.64492
2.07003	0.245545	9.60499	-1.65347
2.08003	0.250242	9.63027	-1.66202
2.09003	0.25494	9.65454	-1.67058
2.10003	0.259637	9.67781	-1.67913
2.11003	0.264335	9.70008	-1.68769
2.12003	0.269032	9.72135	-1.69624
2.13003	0.27373	9.74162	-1.7048
2.14003	0.278427	9.76089	-1.71335
2.15003	0.283125	9.77916	-1.72191
2.16003	0.287822	9.79643	-1.73046
2.17003	0.292519	9.8127	-1.73902
2.18002	0.297217	9.82798	-1.74757
2.19002	0.301914	9.84225	-1.75612
2.20002	0.306612	9.85552	-1.76468
2.21002	0.311309	9.86779	-1.77323
2.22002	0.316007	9.87906	-1.78179
2.23002	0.320704	9.88933	-1.79034
2.24002	0.325402	9.8986	-1.7989
2.25002	0.330099	9.90687	-1.80745
2.26002	0.334796	9.91414	-1.81601
2.27002	0.339494	9.92041	-1.82456
2.28002	0.344191	9.92568	-1.83311
2.29002	0.348889	9.92996	-1.84167
2.30002	0.353586	9.93323	-1.85022
2.31001	0.358284	9.9355	-1.85878
2.32001	0.362981	9.93677	-1.86733
2.33001	0.367679	9.93704	-1.87589
2.34001	0.372376	9.93631	-1.88444
2.35001	0.377073	9.93458	-1.893
2.36001	0.381771	9.93185	-1.90155
2.37001	0.386468	9.92812	-1.9101
2.38001	0.391166	9.92339	-1.91866
2.39001	0.395863	9.91767	-1.92721
2.40001	0.400561	9.91094	-1.93577
2.41001	0.405258	9.90321	-1.94432
2.42001	0.409956	9.89448	-1.95288
2.43001	0.414653	9.88475	-1.96143
2.44001	0.41935	9.87402	-1.96999
2.45	0.424048	9.86229	-1.97854
2.46	0.428745	9.84956	-1.98709
2.47	0.433443	9.83583	-1.99565
