time	err_x	err_y	err_z
0	0	0	0
0.1	0.000244997	-1.66893e-06	0.000242176
0.2	-0.0678487	0.0450745	0.000271758
0.301	-0.0395877	0.17381	0.000210642
0.400998	-0.0615424	0.39748	0.000151154
0.500997	-0.0504003	0.702313	9.21e-05
0.600996	-0.0524041	1.09834	6.10389e-05
0.700995	-0.0585042	1.57614	-9.72467e-06
0.800993	-0.0527526	2.13679	-2.0851e-05
0.900992	-0.0417084	2.76952	-7.75024e-05
1.00099	-0.0466383	3.48136	-0.00012927
1.101	-0.0514932	4.26231	-0.000168019
1.2	-0.0401038	5.10819	-0.00021226
1.3	-0.0390052	6.03368	-0.000245056
1.40001	-0.0500721	7.0279	-0.000271734
1.50001	-0.0468798	8.08452	-0.000314481
1.60002	-0.0307803	9.20733	-0.000329108
1.70002	-0.0444644	10.4131	-0.000258393
1.80003	-0.0589124	11.6683	-0.000214351
1.90003	-0.0422377	12.9753	-0.000215843
2.00004	-0.0680579	14.3552	-0.000187177
2.10003	-0.0429207	15.7682	-0.000202143
2.20002	-0.0394683	17.2349	-0.000238606
2.30002	-0.0396247	18.7624	-0.000254913
2.40001	-0.053055	20.3466	-0.000251914
2.5	-0.0380098	21.9918	-0.000248502
2.60099	-0.0376146	23.7091	-0.000244729
2.70099	-0.0481691	25.4511	-0.000277699
2.80098	-0.0469864	27.2561	-0.000252975
2.90097	-0.0450703	29.1119	-0.000257307
3.00096	-0.0397898	31.0212	-0.000224925
3.10096	-0.0355825	32.9903	-0.000239968
3.20095	-0.0543394	35.0216	-0.000174164
3.30094	-0.0398185	37.0948	-0.000180339
3.40094	-0.0729211	39.2183	-0.000183623
3.50093	-0.0288676	41.3843	-0.000197441
3.60092	-0.0409722	43.6094	-0.000177914
3.70091	-0.049799	45.8604	-0.000160109
3.80091	-0.0418627	48.1503	-0.000162023
3.9009	-0.0448219	50.4779	-0.000145086
4.00089	-0.0501098	52.8456	-0.000157653
4.10089	-0.06066	55.2519	-0.000177542
4.20088	-0.00847973	57.6909	-0.000184168
4.30087	-0.0268317	60.0857	-0.000176745
4.40086	-0.0405078	62.7505	-0.000191518
4.50086	-0.0440571	65.4682	-9.00666e-05
4.60085	-0.088748	68.3304	-0.000102875
4.70084	-0.0280255	71.4068	0.000187727
4.80083	-0.0388438	74.7055	0.000448119
4.90083	-0.0396777	78.1049	0.000575894
5.00082	-0.0374752	81.5061	0.00136349
5.10081	-0.0423957	85.2221	0.0015836
5.20081	-0.042585	89.0406	0.00155744
5.3008	-0.047414	92.9129	0.00160886
5.40079	-0.0454782	96.9667	0.00136956
5.50078	-0.055937	101.158	0.00123839
5.60078	-0.0541172	105.425	0.00103485
5.70077	-0.052684	109.877	0.00100759
5.80076	-0.0285442	114.277	0.00115817
5.90075	-0.0447656	118.879	0.000981393
6.00075	-0.0382719	123.554	0.000829578
6.10074	-0.0382556	128.338	0.000751288
6.20073	-0.0559214	133.196	0.000782612
6.30073	-0.0464967	138.169	0.000644664
6.40072	-0.0424079	143.357	0.000549958
6.50071	-0.114498	148.224	0.000968969
6.6007	-0.0669332	153.533	0.000730614
6.7007	-0.0661827	158.971	0.000539013
6.80069	-0.0625321	164.481	0.000464838
6.90068	-0.0656428	170.053	0.000449194
7.00068	-0.0576346	175.693	0.000367184
7.10067	-0.0625628	181.411	0.000416941
7.20066	-0.0769897	187.22	0.000552949
7.30065	-0.0636822	192.97	0.00044754
7.40065	-0.0597122	198.889	0.000544341
7.50064	-0.088915	204.942	0.000623675
7.60063	-0.0646139	211.15	0.000834188
7.70062	-0.0780735	217.497	0.0010039
7.80062	-0.063198	224.094	0.000859837
7.90061	-0.0741069	230.77	0.000864109
8.0006	-0.0619817	237.622	0.00083108
8.10064	-0.101709	244.696	0.000765968
8.20068	-0.0635445	251.825	0.000584524
8.30072	-0.0661856	259.104	0.000661888
8.40076	-0.0663007	266.502	0.000490944
8.5008	-0.0640779	274.085	0.000365363
8.60085	-0.0637706	281.733	0.000268628
8.70089	-0.0771916	289.592	0.00017419
8.80093	-0.0999467	297.576	0.000214333
8.90097	-0.0697828	305.701	0.000106453
9.00001	-0.0736403	313.855	0.000355829
9.10005	-0.0733357	322.284	0.000375633
9.20009	-0.0684788	330.936	0.000506928
9.30013	-0.0610831	339.731	0.000351399
9.40017	-0.101561	348.672	0.000416967
9.50021	-0.127474	357.769	0.000839497
9.60025	-0.0693563	367.157	0.000598826
9.70029	-0.148736	376.591	0.000539102
9.80033	-0.069724	386.162	0.000578615
9.90037	-0.153614	395.807	0.000573475
